City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bom Jesus,BR,2021-08-12 02:32:09,-9.0744,-44.3586,71.65,46,5,1.39
68,Ushuaia,AR,2021-08-12 02:30:11,-54.8,-68.3,42.46,81,40,27.63
69,Baykit,RU,2021-08-12 02:32:09,61.67,96.37,69.06,56,100,1.48
70,Port Alfred,ZA,2021-08-12 02:30:14,-33.5906,26.891,55.54,81,49,15.5
71,Sambava,MG,2021-08-12 02:28:20,-14.2667,50.1667,69.06,77,56,9.17
72,Sawang Daen Din,TH,2021-08-12 02:32:10,17.4753,103.4575,84.78,75,100,8.52
73,Brezno,SK,2021-08-12 02:32:10,48.8043,19.6363,54.21,92,0,3.6
74,Chokurdakh,RU,2021-08-12 02:30:34,70.6333,147.9167,61.84,78,100,5.5
75,Flin Flon,CA,2021-08-12 02:31:18,54.7682,-101.865,47.21,69,99,19.15
76,Tuatapere,NZ,2021-08-12 02:32:11,-46.1333,167.6833,58.82,67,100,7.85
77,Hilo,US,2021-08-12 02:29:17,19.7297,-155.09,82.13,77,90,8.05
78,Mar Del Plata,AR,2021-08-12 02:32:11,-38.0023,-57.5575,46.42,66,75,9.22
79,Bethel,US,2021-08-12 02:32:12,41.3712,-73.414,80.01,82,75,1.01
80,Provideniya,RU,2021-08-12 02:30:56,64.3833,-173.3,41.11,81,90,6.71
81,Galle,LK,2021-08-12 02:32:12,6.0367,80.217,79.52,85,98,15.17
82,Narsaq,GL,2021-08-12 02:30:27,60.9167,-46.05,50.22,75,90,1.63
83,Malaya Serdoba,RU,2021-08-12 02:32:13,52.4661,44.9512,72.54,40,24,16.17
84,Honningsvag,NO,2021-08-12 02:32:13,70.9821,25.9704,51.94,96,100,13.98
85,Sitia,GR,2021-08-12 02:32:13,35.2,26.0986,80.6,58,0,8.28
86,Bredasdorp,ZA,2021-08-12 02:30:24,-34.5322,20.0403,49.32,81,100,6.91
87,Nanortalik,GL,2021-08-12 02:32:14,60.1432,-45.2371,44.69,84,59,10.49
88,San Cristobal,VE,2021-08-12 02:32:14,7.7669,-72.225,75.38,98,97,2.15
89,Georgetown,MY,2021-08-12 02:29:09,5.4112,100.3354,85.93,79,20,2.3
